Gene Name,Transcript Name,GO ID,InterPro ID,Description
Phvul.003G082300,Phvul.003G082300.1,GO:0055114,IPR026992,"(1 of 2) PTHR10209//PTHR10209:SF173 - OXIDOREDUCTASE, 2OG-FE II  OXYGENASE FAMILY PROTEIN // SUBFAMILY NOT NAMED"
Phvul.003G082300,Phvul.003G082300.1,GO:0055114,IPR027443,"(1 of 2) PTHR10209//PTHR10209:SF173 - OXIDOREDUCTASE, 2OG-FE II  OXYGENASE FAMILY PROTEIN // SUBFAMILY NOT NAMED"
Phvul.003G086700,Phvul.003G086700.1,,,(1 of 29) PF01190 - Pollen proteins Ole e I like (Pollen_Ole_e_I)
Phvul.003G131100,Phvul.003G131100.2,GO:0008080,IPR000182,(1 of 2) PTHR23091:SF278 - ACYL-COA N-ACYLTRANSFERASES-LIKE PROTEIN
Phvul.003G131100,Phvul.003G131100.2,GO:0008080,IPR016181,(1 of 2) PTHR23091:SF278 - ACYL-COA N-ACYLTRANSFERASES-LIKE PROTEIN
Phvul.004G016000,Phvul.004G016000.1,GO:0005515,IPR001611,(1 of 124) PTHR23155//PTHR23155:SF414 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED
Phvul.004G016000,Phvul.004G016000.1,GO:0005515,IPR002182,(1 of 124) PTHR23155//PTHR23155:SF414 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED
Phvul.004G016000,Phvul.004G016000.1,GO:0005515,IPR027417,(1 of 124) PTHR23155//PTHR23155:SF414 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED
Phvul.004G016000,Phvul.004G016000.1,GO:0043531,IPR001611,(1 of 124) PTHR23155//PTHR23155:SF414 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED
Phvul.004G016000,Phvul.004G016000.1,GO:0043531,IPR002182,(1 of 124) PTHR23155//PTHR23155:SF414 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED
Phvul.004G016000,Phvul.004G016000.1,GO:0043531,IPR027417,(1 of 124) PTHR23155//PTHR23155:SF414 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED
Phvul.004G024800,Phvul.004G024800.1,GO:0005524,IPR003959,(1 of 3) PTHR23070:SF44 - AAA-TYPE ATPASE FAMILY PROTEIN-RELATED
Phvul.004G024800,Phvul.004G024800.1,GO:0005524,IPR003593,(1 of 3) PTHR23070:SF44 - AAA-TYPE ATPASE FAMILY PROTEIN-RELATED
Phvul.004G024800,Phvul.004G024800.1,GO:0005524,IPR025753,(1 of 3) PTHR23070:SF44 - AAA-TYPE ATPASE FAMILY PROTEIN-RELATED
Phvul.004G024800,Phvul.004G024800.1,GO:0005524,IPR027417,(1 of 3) PTHR23070:SF44 - AAA-TYPE ATPASE FAMILY PROTEIN-RELATED
Phvul.004G031100,Phvul.004G031100.1,GO:0008152,IPR002213,(1 of 9) K13691 - pathogen-inducible salicylic acid glucosyltransferase [EC:2.4.1.-] Glc b1-2 SA (SGT1)
Phvul.004G031100,Phvul.004G031100.1,GO:0016758,IPR002213,(1 of 9) K13691 - pathogen-inducible salicylic acid glucosyltransferase [EC:2.4.1.-] Glc b1-2 SA (SGT1)
Phvul.004G064700,Phvul.004G064700.1,,IPR004883,(1 of 1) PTHR31304:SF8 - LOB DOMAIN-CONTAINING PROTEIN 41
Phvul.004G118200,Phvul.004G118200.1,GO:0005515,IPR001841,(1 of 1) PTHR14155//PTHR14155:SF149 - RING FINGER DOMAIN-CONTAINING // SUBFAMILY NOT NAMED
Phvul.004G118200,Phvul.004G118200.1,GO:0005515,IPR013083,(1 of 1) PTHR14155//PTHR14155:SF149 - RING FINGER DOMAIN-CONTAINING // SUBFAMILY NOT NAMED
Phvul.004G118200,Phvul.004G118200.1,GO:0008270,IPR001841,(1 of 1) PTHR14155//PTHR14155:SF149 - RING FINGER DOMAIN-CONTAINING // SUBFAMILY NOT NAMED
Phvul.004G118200,Phvul.004G118200.1,GO:0008270,IPR013083,(1 of 1) PTHR14155//PTHR14155:SF149 - RING FINGER DOMAIN-CONTAINING // SUBFAMILY NOT NAMED
Phvul.005G085400,Phvul.005G085400.1,GO:0005488,IPR016024,(1 of 9) PTHR12663 - ANDROGEN INDUCED INHIBITOR OF PROLIFERATION  AS3  / PDS5-RELATED
Phvul.005G085400,Phvul.005G085400.1,GO:0005488,IPR011989,(1 of 9) PTHR12663 - ANDROGEN INDUCED INHIBITOR OF PROLIFERATION  AS3  / PDS5-RELATED
Phvul.005G108000,Phvul.005G108000.1,,IPR022251,(1 of 13) PF12609 - Wound-induced protein (DUF3774)
Phvul.005G108200,Phvul.005G108200.1,,IPR022251,(1 of 13) PF12609 - Wound-induced protein (DUF3774)
Phvul.005G108300,Phvul.005G108300.1,,IPR023194,(1 of 13) PF12609 - Wound-induced protein (DUF3774)
Phvul.005G108300,Phvul.005G108300.1,,IPR022251,(1 of 13) PF12609 - Wound-induced protein (DUF3774)
Phvul.005G108400,Phvul.005G108400.1,GO:0003676,IPR002775,(1 of 13) PF12609 - Wound-induced protein (DUF3774)
Phvul.005G108400,Phvul.005G108400.1,GO:0003676,IPR022251,(1 of 13) PF12609 - Wound-induced protein (DUF3774)
Phvul.005G172400,Phvul.005G172400.1,GO:0005515,IPR001810,(1 of 12) PF00646//PF01344 - F-box domain (F-box)  // Kelch motif (Kelch_1)
Phvul.005G172400,Phvul.005G172400.1,GO:0005515,IPR006652,(1 of 12) PF00646//PF01344 - F-box domain (F-box)  // Kelch motif (Kelch_1)
Phvul.005G172400,Phvul.005G172400.1,GO:0005515,IPR015916,(1 of 12) PF00646//PF01344 - F-box domain (F-box)  // Kelch motif (Kelch_1)
Phvul.006G013900,Phvul.006G013900.1,GO:0005524,IPR003439,(1 of 1) PTHR19241:SF158 - ABC TRANSPORTER G FAMILY MEMBER 23
Phvul.006G013900,Phvul.006G013900.1,GO:0005524,IPR003593,(1 of 1) PTHR19241:SF158 - ABC TRANSPORTER G FAMILY MEMBER 23
Phvul.006G013900,Phvul.006G013900.1,GO:0005524,IPR027417,(1 of 1) PTHR19241:SF158 - ABC TRANSPORTER G FAMILY MEMBER 23
Phvul.006G013900,Phvul.006G013900.1,GO:0016887,IPR003439,(1 of 1) PTHR19241:SF158 - ABC TRANSPORTER G FAMILY MEMBER 23
Phvul.006G013900,Phvul.006G013900.1,GO:0016887,IPR003593,(1 of 1) PTHR19241:SF158 - ABC TRANSPORTER G FAMILY MEMBER 23
Phvul.006G013900,Phvul.006G013900.1,GO:0016887,IPR027417,(1 of 1) PTHR19241:SF158 - ABC TRANSPORTER G FAMILY MEMBER 23
Phvul.006G060700,Phvul.006G060700.1,,IPR001623,(1 of 123) PTHR24078 - DNAJ HOMOLOG SUBFAMILY C MEMBER
Phvul.007G092400,Phvul.007G092400.1,,,
Phvul.007G142950,Phvul.007G142950.1,GO:0006950,IPR006016,(1 of 5) PTHR31964:SF16 - ADENINE NUCLEOTIDE ALPHA HYDROLASES-LIKE PROTEIN
Phvul.007G142950,Phvul.007G142950.1,GO:0006950,IPR014729,(1 of 5) PTHR31964:SF16 - ADENINE NUCLEOTIDE ALPHA HYDROLASES-LIKE PROTEIN
Phvul.007G142950,Phvul.007G142950.1,GO:0006950,IPR006015,(1 of 5) PTHR31964:SF16 - ADENINE NUCLEOTIDE ALPHA HYDROLASES-LIKE PROTEIN
Phvul.007G143000,Phvul.007G143000.1,GO:0006950,IPR006016,(1 of 5) PTHR31964:SF16 - ADENINE NUCLEOTIDE ALPHA HYDROLASES-LIKE PROTEIN
Phvul.007G143000,Phvul.007G143000.1,GO:0006950,IPR014729,(1 of 5) PTHR31964:SF16 - ADENINE NUCLEOTIDE ALPHA HYDROLASES-LIKE PROTEIN
Phvul.007G143000,Phvul.007G143000.1,GO:0006950,IPR006015,(1 of 5) PTHR31964:SF16 - ADENINE NUCLEOTIDE ALPHA HYDROLASES-LIKE PROTEIN
Phvul.007G173400,Phvul.007G173400.1,GO:0008270,IPR001781,"(1 of 19) PF04570 - zinc-finger of the FCS-type, C2-C2 (zf-FLZ)"
Phvul.007G173400,Phvul.007G173400.1,GO:0008270,IPR007650,"(1 of 19) PF04570 - zinc-finger of the FCS-type, C2-C2 (zf-FLZ)"
Phvul.007G193700,Phvul.007G193700.1,GO:0003677,IPR001471,(1 of 10) K14516 - ethylene-responsive transcription factor 1 (ERF1)
Phvul.007G193700,Phvul.007G193700.1,GO:0003677,IPR016177,(1 of 10) K14516 - ethylene-responsive transcription factor 1 (ERF1)
Phvul.007G193700,Phvul.007G193700.1,GO:0003700,IPR001471,(1 of 10) K14516 - ethylene-responsive transcription factor 1 (ERF1)
Phvul.007G193700,Phvul.007G193700.1,GO:0003700,IPR016177,(1 of 10) K14516 - ethylene-responsive transcription factor 1 (ERF1)
Phvul.007G193700,Phvul.007G193700.1,GO:0006355,IPR001471,(1 of 10) K14516 - ethylene-responsive transcription factor 1 (ERF1)
Phvul.007G193700,Phvul.007G193700.1,GO:0006355,IPR016177,(1 of 10) K14516 - ethylene-responsive transcription factor 1 (ERF1)
Phvul.007G249100,Phvul.007G249100.1,GO:0003747,IPR000352,(1 of 1) PTHR11075:SF52 - PEPTIDE CHAIN RELEASE FACTOR 3
Phvul.007G249100,Phvul.007G249100.1,GO:0003747,IPR005139,(1 of 1) PTHR11075:SF52 - PEPTIDE CHAIN RELEASE FACTOR 3
Phvul.007G249100,Phvul.007G249100.1,GO:0003747,IPR014720,(1 of 1) PTHR11075:SF52 - PEPTIDE CHAIN RELEASE FACTOR 3
Phvul.007G249100,Phvul.007G249100.1,GO:0005737,IPR000352,(1 of 1) PTHR11075:SF52 - PEPTIDE CHAIN RELEASE FACTOR 3
Phvul.007G249100,Phvul.007G249100.1,GO:0005737,IPR005139,(1 of 1) PTHR11075:SF52 - PEPTIDE CHAIN RELEASE FACTOR 3
Phvul.007G249100,Phvul.007G249100.1,GO:0005737,IPR014720,(1 of 1) PTHR11075:SF52 - PEPTIDE CHAIN RELEASE FACTOR 3
Phvul.007G249100,Phvul.007G249100.1,GO:0006415,IPR000352,(1 of 1) PTHR11075:SF52 - PEPTIDE CHAIN RELEASE FACTOR 3
Phvul.007G249100,Phvul.007G249100.1,GO:0006415,IPR005139,(1 of 1) PTHR11075:SF52 - PEPTIDE CHAIN RELEASE FACTOR 3
Phvul.007G249100,Phvul.007G249100.1,GO:0006415,IPR014720,(1 of 1) PTHR11075:SF52 - PEPTIDE CHAIN RELEASE FACTOR 3
Phvul.007G249100,Phvul.007G249100.1,GO:0016149,IPR000352,(1 of 1) PTHR11075:SF52 - PEPTIDE CHAIN RELEASE FACTOR 3
Phvul.007G249100,Phvul.007G249100.1,GO:0016149,IPR005139,(1 of 1) PTHR11075:SF52 - PEPTIDE CHAIN RELEASE FACTOR 3
Phvul.007G249100,Phvul.007G249100.1,GO:0016149,IPR014720,(1 of 1) PTHR11075:SF52 - PEPTIDE CHAIN RELEASE FACTOR 3
Phvul.007G273000,Phvul.007G273000.1,GO:0003677,IPR001471,(1 of 3) PTHR31190:SF15 - ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR 1B
Phvul.007G273000,Phvul.007G273000.1,GO:0003677,IPR009072,(1 of 3) PTHR31190:SF15 - ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR 1B
Phvul.007G273000,Phvul.007G273000.1,GO:0003677,IPR016177,(1 of 3) PTHR31190:SF15 - ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR 1B
Phvul.007G273000,Phvul.007G273000.1,GO:0003700,IPR001471,(1 of 3) PTHR31190:SF15 - ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR 1B
Phvul.007G273000,Phvul.007G273000.1,GO:0003700,IPR009072,(1 of 3) PTHR31190:SF15 - ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR 1B
Phvul.007G273000,Phvul.007G273000.1,GO:0003700,IPR016177,(1 of 3) PTHR31190:SF15 - ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR 1B
Phvul.007G273000,Phvul.007G273000.1,GO:0006355,IPR001471,(1 of 3) PTHR31190:SF15 - ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR 1B
Phvul.007G273000,Phvul.007G273000.1,GO:0006355,IPR009072,(1 of 3) PTHR31190:SF15 - ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR 1B
Phvul.007G273000,Phvul.007G273000.1,GO:0006355,IPR016177,(1 of 3) PTHR31190:SF15 - ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR 1B
Phvul.007G273000,Phvul.007G273000.1,GO:0046982,IPR001471,(1 of 3) PTHR31190:SF15 - ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR 1B
Phvul.007G273000,Phvul.007G273000.1,GO:0046982,IPR009072,(1 of 3) PTHR31190:SF15 - ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR 1B
Phvul.007G273000,Phvul.007G273000.1,GO:0046982,IPR016177,(1 of 3) PTHR31190:SF15 - ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR 1B
Phvul.008G022925,Phvul.008G022925.1,GO:0005515,IPR010402,(1 of 4) PTHR31319:SF10 - ZINC FINGER PROTEIN CONSTANS-RELATED
Phvul.008G034100,Phvul.008G034100.1,GO:0008152,IPR002213,(1 of 5) PTHR11926//PTHR11926:SF265 - GLUCOSYL/GLUCURONOSYL TRANSFERASES // SUBFAMILY NOT NAMED
Phvul.008G034100,Phvul.008G034100.1,GO:0016758,IPR002213,(1 of 5) PTHR11926//PTHR11926:SF265 - GLUCOSYL/GLUCURONOSYL TRANSFERASES // SUBFAMILY NOT NAMED
Phvul.008G276150,Phvul.008G276150.1,GO:0005524,IPR003439,(1 of 59) 3.6.3.44 - Xenobiotic-transporting ATPase / Steroid-transporting ATPase
Phvul.008G276150,Phvul.008G276150.1,GO:0005524,IPR003593,(1 of 59) 3.6.3.44 - Xenobiotic-transporting ATPase / Steroid-transporting ATPase
Phvul.008G276150,Phvul.008G276150.1,GO:0005524,IPR027417,(1 of 59) 3.6.3.44 - Xenobiotic-transporting ATPase / Steroid-transporting ATPase
Phvul.008G276150,Phvul.008G276150.1,GO:0016887,IPR003439,(1 of 59) 3.6.3.44 - Xenobiotic-transporting ATPase / Steroid-transporting ATPase
Phvul.008G276150,Phvul.008G276150.1,GO:0016887,IPR003593,(1 of 59) 3.6.3.44 - Xenobiotic-transporting ATPase / Steroid-transporting ATPase
Phvul.008G276150,Phvul.008G276150.1,GO:0016887,IPR027417,(1 of 59) 3.6.3.44 - Xenobiotic-transporting ATPase / Steroid-transporting ATPase
Phvul.009G142800,Phvul.009G142800.1,GO:0005576,IPR007112,(1 of 3) PTHR31867:SF22 - EXPANSIN-A8
Phvul.009G142800,Phvul.009G142800.1,GO:0005576,IPR007118,(1 of 3) PTHR31867:SF22 - EXPANSIN-A8
Phvul.009G142800,Phvul.009G142800.1,GO:0005576,IPR002963,(1 of 3) PTHR31867:SF22 - EXPANSIN-A8
Phvul.009G142800,Phvul.009G142800.1,GO:0005576,IPR009009,(1 of 3) PTHR31867:SF22 - EXPANSIN-A8
Phvul.009G142800,Phvul.009G142800.1,GO:0005576,IPR007117,(1 of 3) PTHR31867:SF22 - EXPANSIN-A8
Phvul.009G142800,Phvul.009G142800.1,GO:0009664,IPR007112,(1 of 3) PTHR31867:SF22 - EXPANSIN-A8
Phvul.009G142800,Phvul.009G142800.1,GO:0009664,IPR007118,(1 of 3) PTHR31867:SF22 - EXPANSIN-A8
Phvul.009G142800,Phvul.009G142800.1,GO:0009664,IPR002963,(1 of 3) PTHR31867:SF22 - EXPANSIN-A8
Phvul.009G142800,Phvul.009G142800.1,GO:0009664,IPR009009,(1 of 3) PTHR31867:SF22 - EXPANSIN-A8
Phvul.009G142800,Phvul.009G142800.1,GO:0009664,IPR007117,(1 of 3) PTHR31867:SF22 - EXPANSIN-A8
Phvul.009G225800,Phvul.009G225800.1,,,
Phvul.010G050600,Phvul.010G050600.1,GO:0003677,IPR001471,(1 of 7) PTHR31190:SF21 - ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR 13
Phvul.010G050600,Phvul.010G050600.1,GO:0003677,IPR016177,(1 of 7) PTHR31190:SF21 - ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR 13
Phvul.010G050600,Phvul.010G050600.1,GO:0003700,IPR001471,(1 of 7) PTHR31190:SF21 - ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR 13
Phvul.010G050600,Phvul.010G050600.1,GO:0003700,IPR016177,(1 of 7) PTHR31190:SF21 - ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR 13
Phvul.010G050600,Phvul.010G050600.1,GO:0006355,IPR001471,(1 of 7) PTHR31190:SF21 - ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR 13
Phvul.010G050600,Phvul.010G050600.1,GO:0006355,IPR016177,(1 of 7) PTHR31190:SF21 - ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR 13
Phvul.010G150400,Phvul.010G150400.2,,,
Phvul.011G050000,Phvul.011G050000.1,,,(1 of 2) PTHR36346:SF1 - EXPRESSED PROTEIN
Phvul.011G050200,Phvul.011G050200.1,,,
Phvul.011G110800,Phvul.011G110800.1,,IPR022251,(1 of 13) PF12609 - Wound-induced protein (DUF3774)
